antecedents,consequents,support,confidence,lift
"Depth_Interface, Magnitude_Micro, LOC_OTHER",Time_Night,0.010187526624430124,0.3814048184594503,1.0825193585637747
"Depth_Crust, Magnitude_Micro, Time_Evening",LOC_OTHER,0.030508198058569216,0.273992673992674,1.0815314555574298
LOC_OTHER,"Depth_Crust, Magnitude_Micro, Time_Evening",0.030508198058569216,0.12042502951593861,1.0815314555574296
SURIGAO DEL NORTE,"Depth_Crust, Time_Evening",0.010821981129510291,0.1470986817789824,1.0808167727328786
"Depth_Crust, Time_Evening",SURIGAO DEL NORTE,0.010821981129510291,0.07951518380394246,1.0808167727328786
Magnitude_Micro,OCCIDENTAL MINDORO,0.04122141555863719,0.05087589771125579,1.0807063285291802
OCCIDENTAL MINDORO,Magnitude_Micro,0.04122141555863719,0.875625721986908,1.0807063285291802
Depth_Crust,"Magnitude_Micro, SURIGAO DEL NORTE",0.0312514161930917,0.06612584623055828,1.0802088748095537
"Magnitude_Micro, SURIGAO DEL NORTE",Depth_Crust,0.0312514161930917,0.5105122890139177,1.0802088748095535
"Depth_Interface, Time_Night, LOC_OTHER",Magnitude_Micro,0.010187526624430124,0.8747081712062258,1.079573877859298
Magnitude_Micro,"Depth_Interface, Time_Night, LOC_OTHER",0.010187526624430124,0.01257355079759268,1.079573877859298
Magnitude_Micro,NEGROS OCCIDENTAL,0.013468562779273278,0.016623039577600286,1.0794800351007754
NEGROS OCCIDENTAL,Magnitude_Micro,0.013468562779273278,0.8746321365509123,1.0794800351007752
"Magnitude_Micro, SURIGAO DEL SUR","Depth_Crust, Time_Afternoon",0.010577262963265084,0.08924747629244419,1.0792156188975952
"Depth_Crust, Time_Afternoon","Magnitude_Micro, SURIGAO DEL SUR",0.010577262963265084,0.12790442788250767,1.0792156188975952
"Depth_Crust, OCCIDENTAL MINDORO",Magnitude_Micro,0.019233035139715946,0.8732510288065845,1.0777754576286918
Magnitude_Micro,"Depth_Crust, OCCIDENTAL MINDORO",0.019233035139715946,0.023737611025348458,1.0777754576286918
"Time_Afternoon, Depth_Surface",SURIGAO DEL SUR,0.010178462988643264,0.15558326406206704,1.0777708989283556
SURIGAO DEL SUR,"Time_Afternoon, Depth_Surface",0.010178462988643264,0.07050919821686444,1.0777708989283556
"OCCIDENTAL MINDORO, Depth_Surface",Magnitude_Micro,0.014846235418875928,0.8726691529035695,1.0770573003669566
Magnitude_Micro,"OCCIDENTAL MINDORO, Depth_Surface",0.014846235418875928,0.01832337740787972,1.0770573003669566
Magnitude_Micro,"Depth_Crust, Time_Night, LOC_OTHER",0.03763221578704081,0.046446070206054096,1.0765633134252426
"Depth_Crust, Time_Night, LOC_OTHER",Magnitude_Micro,0.03763221578704081,0.8722689075630252,1.0765633134252426
"Magnitude_Micro, Time_Night, LOC_OTHER",Depth_Interface,0.010187526624430124,0.12534850005576,1.0759160852382184
Depth_Interface,"Magnitude_Micro, Time_Night, LOC_OTHER",0.010187526624430124,0.08744359732379026,1.0759160852382181
"Depth_Crust, Magnitude_Micro, Time_Night",LOC_OTHER,0.03763221578704081,0.2723515906854706,1.0750536063796878
LOC_OTHER,"Depth_Crust, Magnitude_Micro, Time_Night",0.03763221578704081,0.14854566920682621,1.0750536063796878
SURIGAO DEL SUR,Time_Afternoon,0.02702776191641515,0.18722923337728387,1.0747756788631169
Time_Afternoon,SURIGAO DEL SUR,0.02702776191641515,0.15515088449531736,1.0747756788631166
"Magnitude_Micro, Time_Night, SURIGAO DEL NORTE",Depth_Crust,0.010513817512757068,0.5078809106830122,1.0746410593285276
Depth_Crust,"Magnitude_Micro, Time_Night, SURIGAO DEL NORTE",0.010513817512757068,0.02224651439311125,1.0746410593285276
"Magnitude_Micro, Time_Evening",LOC_OTHER,0.06380799593949117,0.27222458528285837,1.0745522778735304
LOC_OTHER,"Magnitude_Micro, Time_Evening",0.06380799593949117,0.2518693427784337,1.0745522778735304
"Depth_Crust, Time_Morning",Magnitude_Minor,0.014692153610499315,0.16808378266279553,1.0735080651212094
Magnitude_Minor,"Depth_Crust, Time_Morning",0.014692153610499315,0.09383502170767005,1.0735080651212094
"Time_Night, LOC_OTHER",Magnitude_Micro,0.08127362210076951,0.8697381183317169,1.0734397871630832
Magnitude_Micro,"Time_Night, LOC_OTHER",0.08127362210076951,0.10030874555339285,1.073439787163083
"Depth_Crust, SURIGAO DEL SUR",Time_Afternoon,0.013151335526733194,0.18674388674388673,1.0719895821196548
Time_Afternoon,"Depth_Crust, SURIGAO DEL SUR",0.013151335526733194,0.0754942767950052,1.0719895821196548
Time_Afternoon,"Magnitude_Minor, Depth_Surface",0.01125703564727955,0.06462018730489073,1.0714772896807783
